|OUTPUT SUMMARY with options:
                Normalization method: MinMax
                Initial centroids: Actual|
|Initial 300 midpoints|
Fresh Milk Grocery Frozen Detergents_Paper Delicassen Cluster#
4042.0 2204.0 1563.0 2286.0 263.0 689.0 0
2806.0 10765.0 15538.0 1374.0 5828.0 2388.0 1
5924.0 584.0 542.0 4052.0 283.0 434.0 2
8885.0 2428.0 1777.0 1777.0 430.0 610.0 3
24904.0 3836.0 5330.0 3443.0 454.0 3178.0 4
11594.0 7779.0 12144.0 3252.0 8035.0 3029.0 5
12669.0 9656.0 7561.0 214.0 2674.0 1338.0 6
6134.0 23133.0 33586.0 6746.0 18594.0 5121.0 7
12434.0 540.0 283.0 1092.0 3.0 2233.0 8
2427.0 7097.0 10391.0 1127.0 4314.0 1468.0 9
7149.0 2428.0 699.0 6316.0 395.0 911.0 10
180.0 3485.0 20292.0 959.0 5618.0 666.0 11
19046.0 2770.0 2469.0 8853.0 483.0 2708.0 12
7388.0 1882.0 2174.0 720.0 47.0 537.0 13
1869.0 577.0 572.0 950.0 4762.0 203.0 14
5567.0 871.0 2010.0 3383.0 375.0 569.0 15
27901.0 3749.0 6964.0 4479.0 603.0 2503.0 16
1289.0 3328.0 2022.0 531.0 255.0 1774.0 17
514.0 8323.0 6869.0 529.0 93.0 1040.0 18
1838.0 6380.0 2824.0 1218.0 1216.0 295.0 19
19087.0 1304.0 3643.0 3045.0 710.0 898.0 20
260.0 8675.0 13430.0 1116.0 7015.0 323.0 21
20398.0 1137.0 3.0 4407.0 3.0 975.0 22
18601.0 6327.0 10099.0 2205.0 2767.0 3181.0 23
21632.0 1318.0 2886.0 266.0 918.0 405.0 24
11072.0 5989.0 5615.0 8321.0 955.0 2137.0 25
22039.0 8384.0 34792.0 42.0 12591.0 4430.0 26
7107.0 1012.0 2974.0 806.0 355.0 1142.0 27
4420.0 5139.0 2661.0 8872.0 1321.0 181.0 28
56159.0 555.0 902.0 10002.0 212.0 2916.0 29
18044.0 1080.0 2000.0 2555.0 118.0 1266.0 30
219.0 9540.0 14403.0 283.0 7818.0 156.0 31
1725.0 3651.0 12822.0 824.0 4424.0 2157.0 32
4625.0 8579.0 7030.0 4575.0 2447.0 1542.0 33
56082.0 3504.0 8906.0 18028.0 1480.0 2498.0 34
18827.0 3677.0 1988.0 118.0 516.0 201.0 35
18692.0 3838.0 593.0 4634.0 28.0 1215.0 36
2438.0 8002.0 9819.0 6269.0 3459.0 3.0 37
17160.0 1200.0 3412.0 2417.0 174.0 1136.0 38
10362.0 9232.0 11009.0 737.0 3537.0 2342.0 39
9658.0 2182.0 1909.0 5639.0 215.0 323.0 40
3087.0 8080.0 8282.0 661.0 721.0 36.0 41
31812.0 1433.0 1651.0 800.0 113.0 1440.0 42
572.0 9763.0 22182.0 2221.0 4882.0 2563.0 43
15218.0 258.0 1138.0 2516.0 333.0 204.0 44
30624.0 7209.0 4897.0 18711.0 763.0 2876.0 45
10405.0 1596.0 1096.0 8425.0 399.0 318.0 46
68951.0 4411.0 12609.0 8692.0 751.0 2406.0 47
43265.0 5025.0 8117.0 6312.0 1579.0 14351.0 48
4155.0 367.0 1390.0 2306.0 86.0 130.0 49
4822.0 6721.0 9170.0 993.0 4973.0 3637.0 50
20893.0 1222.0 2576.0 3975.0 737.0 3628.0 51
10253.0 1114.0 3821.0 397.0 964.0 412.0 52
11686.0 2154.0 6824.0 3527.0 592.0 697.0 53
1531.0 8397.0 6981.0 247.0 2505.0 1236.0 54
40254.0 640.0 3600.0 1042.0 436.0 18.0 55
630.0 11095.0 23998.0 787.0 9529.0 72.0 56
11002.0 7075.0 4945.0 1152.0 120.0 395.0 57
8040.0 7639.0 11687.0 2758.0 6839.0 404.0 58
1073.0 9679.0 15445.0 61.0 5980.0 1265.0 59
1989.0 10690.0 19460.0 233.0 11577.0 2153.0 60
45640.0 6958.0 6536.0 7368.0 1532.0 230.0 61
5531.0 15726.0 26870.0 2367.0 13726.0 446.0 62
9396.0 11601.0 15775.0 2896.0 7677.0 1295.0 63
8170.0 6448.0 1139.0 2181.0 58.0 247.0 64
2083.0 5007.0 1563.0 1120.0 147.0 1550.0 65
24025.0 4332.0 4757.0 9510.0 1145.0 5864.0 66
11210.0 3576.0 5119.0 561.0 1682.0 2398.0 67
15671.0 5279.0 2406.0 559.0 562.0 572.0 68
19219.0 1840.0 1658.0 8195.0 349.0 483.0 69
9061.0 829.0 683.0 16919.0 621.0 139.0 70
4760.0 1227.0 3250.0 3724.0 1247.0 1145.0 71
112151.0 29627.0 18148.0 16745.0 4948.0 8550.0 72
16260.0 594.0 1296.0 848.0 445.0 258.0 73
24929.0 1801.0 2475.0 2216.0 412.0 1047.0 74
3062.0 6154.0 13916.0 230.0 8933.0 2784.0 75
53205.0 4959.0 7336.0 3012.0 967.0 818.0 76
5414.0 717.0 2155.0 2399.0 69.0 750.0 77
76237.0 3473.0 7102.0 16538.0 778.0 918.0 78
8656.0 2746.0 2501.0 6845.0 694.0 980.0 79
